...1,B2,B3,B4,row,geometry,index_right,...8,latitude,longitude,area_in_meters,confidence,full_plus_code,building
1348,1086,987,1062,1349,POINT (35.31233912846046 -15.382165768466404),1163,6429983,-15.3821649,35.31233449,23.412,0.7636,5GPQJ896+4WPG,1
1349,1154,1080,1117,1350,POINT (35.312432236494466 -15.382164800857684),408,2189839,-15.38216138,35.31249617,109.5242,0.6725,5GPQJ896+4XQH,1
1350,1150,1032,1118,1351,POINT (35.312525344521895 -15.382163833210084),408,2189839,-15.38216138,35.31249617,109.5242,0.6725,5GPQJ896+4XQH,1
1352,1048,972,963,1353,POINT (35.312711560557034 -15.38216189779824),1242,6836748,-15.3821737,35.31273767,59.9679,0.8457,5GPQJ897+43Q4,1
1353,1139,1048,982,1354,POINT (35.31280466856474 -15.382160930033995),447,2377659,-15.3821528,35.31279656,28.4066,0.7537,5GPQJ897+44MV,1
1360,1220,1102,1130,1361,POINT (35.31345642443451 -15.382154154595645),1005,5541074,-15.38214109,35.31345082,117.7687,0.8144,5GPQJ897+49W7,1
1361,1235,1136,1198,1362,POINT (35.3135495323896 -15.382153186520355),679,3718532,-15.38215636,35.31358769,139.4028,0.6506,5GPQJ897+4CPQ,1
1362,1152,1074,1095,1363,POINT (35.3136426403381 -15.382152218406189),679,3718532,-15.38215636,35.31358769,139.4028,0.6506,5GPQJ897+4CPQ,1
1482,1006,870,820,1483,POINT (35.32481554632018 -15.3820357624378),1402,7690671,-15.38205223,35.32482905,16.6461,0.6948,5GPQJ89F+5WGW,1
1511,1074,969,893,1512,POINT (35.32751565100104 -15.382007534913352),267,1454421,-15.38206089,35.32752882,62.6666,0.8091,5GPQJ89H+52CH,1
1526,1340,1324,1304,1527,POINT (35.31029174646067 -15.382277381327771),1350,7351685,-15.38226039,35.31029503,35.7691,0.7982,5GPQJ896+34VF,1
1528,1452,1540,1809,1529,POINT (35.31047796289144 -15.382275447770304),55,259773,-15.38228451,35.3104494,51.7315,0.8388,5GPQJ896+35PM,1
1535,1140,1050,1063,1536,POINT (35.31112972019218 -15.38226867909441),1061,5808617,-15.38223015,35.31108434,63.1486,0.6953,5GPQJ896+4C4P,1
1545,1142,1054,1100,1546,POINT (35.31206080149175 -15.382259006252536),1199,6598200,-15.38223782,35.31202146,143.0975,0.8331,5GPQJ896+4R2G,1
1547,1091,1000,1073,1548,POINT (35.312247017672775 -15.382257071217593),743,4087726,-15.3822724,35.31223912,73.4684,0.7729,5GPQJ896+3VX4,1
1557,1368,1245,1169,1558,POINT (35.31317809818338 -15.382247393710012),525,2790087,-15.38218797,35.31314693,109.532,0.8588,5GPQJ897+47CG,1
1558,1338,1213,1174,1559,POINT (35.31327120619827 -15.382246425745407),707,3877970,-15.38225935,35.31326211,63.4523,0.7523,5GPQJ897+38RM,1
1560,1284,1221,1220,1561,POINT (35.31345742220832 -15.382244489699564),1213,6661072,-15.38226885,35.31341449,97.0592,0.6857,5GPQJ897+39V7,1
1561,1310,1262,1257,1562,POINT (35.313550530203464 -15.38224352161832),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
1760,1271,1225,1221,1761,POINT (35.3134584199887 -15.382334824802683),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
1761,1350,1352,1341,1762,POINT (35.31355152802392 -15.382333856715483),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
1959,1312,1287,1251,1960,POINT (35.313366309693784 -15.382426127959288),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
1960,1330,1293,1232,1961,POINT (35.31345941777566 -15.38242515990501),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
1961,1372,1314,1283,1962,POINT (35.31355252585095 -15.38242419181185),608,3304154,-15.38242136,35.31342939,864.1643,0.7818,5GPQJ897+29M4,1
