,latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1020588,-15.43233991,35.42553958,41.8421,0.8351,"POLYGON((35.4255781590743 -15.4323600534991, 35.425572054568 -15.4323113753096, 35.4255009862133 -15.4323197606166, 35.4255070907038 -15.4323684388103, 35.4255781590743 -15.4323600534991))",5GPQHC9G+367F
1023378,-15.43190532,35.40942901,49.2587,0.8098,"POLYGON((35.4094761953194 -15.4319069100425, 35.409444501459 -15.4318620512417, 35.4093818121537 -15.4319037237729, 35.4094135060093 -15.4319485825836, 35.4094761953194 -15.4319069100425))",5GPQHC95+6QMP
1037775,-15.42401238,35.41007462,27.2975,0.8162,"POLYGON((35.4100995623194 -15.4240356405188, 35.4101023599845 -15.4239923345497, 35.4100496816695 -15.4239891323877, 35.4100468839932 -15.4240324383576, 35.4100995623194 -15.4240356405188))",5GPQHCG6+92WF
1044979,-15.42534029,35.4105019,18.5782,0.7141,"POLYGON((35.4105225110285 -15.4253595777757, 35.4105254549542 -15.4253245091919, 35.4104813002938 -15.4253210214635, 35.4104783563608 -15.4253560900479, 35.4105225110285 -15.4253595777757))",5GPQHCF6+V666
1068723,-15.43326022,35.42559043,61.2608,0.8171,"POLYGON((35.4256122741032 -15.4333062315572, 35.4256313025511 -15.4332286774617, 35.4255685792708 -15.4332141980461, 35.4255495507994 -15.4332917521394, 35.4256122741032 -15.4333062315572))",5GPQHC8G+M6WH
1071817,-15.42947708,35.41046779,67.9262,0.8452,"POLYGON((35.4105129623684 -15.4294469549546, 35.4104279075518 -15.4294405928579, 35.4104226121743 -15.429507202012, 35.4105076670185 -15.4295135641069, 35.4105129623684 -15.4294469549546))",5GPQHCC6+654X
1085127,-15.43843509,35.42302381,33.0091,0.7557,"POLYGON((35.4230499167489 -15.4384075119591, 35.4230040836956 -15.438402894463, 35.4229976817774 -15.4384626782466, 35.4230435148441 -15.438467295742, 35.4230499167489 -15.4384075119591))",5GPQHC6F+J6CH
1091836,-15.42846171,35.42632155,18.0451,0.7614,"POLYGON((35.4263446402057 -15.42844638685, 35.426307703494 -15.4284381217395, 35.4262984480212 -15.4284770398445, 35.4263353847398 -15.4284853049556, 35.4263446402057 -15.42844638685))",5GPQHCCG+JG8F
1112477,-15.42403861,35.42649998,12.2464,0.653,"POLYGON((35.4265148123219 -15.4240564861845, 35.4265125847709 -15.4240191811844, 35.4264851345448 -15.4240207234825, 35.426487362091 -15.4240580284837, 35.4265148123219 -15.4240564861845))",5GPQHCGG+9HQH
1112943,-15.42477387,35.42646873,42.5747,0.7818,"POLYGON((35.4265000540956 -15.4248023286522, 35.4264971569832 -15.4247426774941, 35.4264374080163 -15.4247454079468, 35.4264403051118 -15.4248050591081, 35.4265000540956 -15.4248023286522))",5GPQHCGG+3HW5
